Plate Special 1 x 1 with Clip Horizontal,6019,60476,61252
Plate Special 1 x 2 with Arm Up,4623,88072,4623a
Plate Special 1 x 2 [Top Clip],92280,44861
Plate Special 1 x 2 with Clips Horizontal,60470b,60470a
Tap 1 x 1,4599a,4599b
Plate Round 2 x 2 with Axle Hole,4032a,4032b
Tile Round 2 x 2,4150,14769
Panel 1 x 2 x 1,4865a,4865b,4865
Cone 1x1,59900,4589
Slope Inverted 33° 3 x 2,3747b,3747a
Plate Special 1 x 2 with 1 Stud,3794b,3794a,15573
Brick Special 1 x 1 with Headlight,4070,4070a
Brick Special 1 x 1 with Headlight,3040b,3040a
Tile 1 x 1,3070b,3070a
Tile 1 x 2,3069b,3069a
Tile 2 x 2,3068b,3068a
Brick Round 1 x 1,3062b,3062a
Slope Inverted 45° 2 x 2,3660,3660a,3660b
